Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.2131805,110.7881775,109.4409637,111.0108337,109.2143021,110.8390503,111.3767166,114.251152,115.2115784,113.0916138,113.8017883,113.7942963,105.2558594,104.0871277,116.039299,117.1080933,,,,,,,
Africa Eastern and Southern,AFE,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,31.17658997,32.00761032,32.26189041,32.58422089,33.10829926,34.18519974,35.23205185,36.11148834,37.63702011,,44.13336945,47.71170044,17.30882072,,21.99169922,23.91284943,25.85166931,,32.54500961,30.25200081,29.04141998,27.41422081,,29.10314941,40.00014114,42.75143051,,,31.05335045,25.30797005,20.95758057,20.88290977,68.98684692,93.36218262,104.6638184,98.09989166,101.6978531,98.93350983,100.7797318,96.89640045,100.0717087,97.64163971,103.4923935,104.4984283,105.9197083,103.534523,102.4864731,102.1757889,103.9961624,106.7010803,,
Africa Western and Central,AFW,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,58.57027054,64.29821777,67.90733337,75.88877106,,,,,,142.7440948,123.5384216,114.4756699,103.9440231,91.82414246,73.3791275,79.39193726,79.46468353,77.86546326,77.59635925,73.03958893,66.80436707,64.24714661,,,,,,71.5319519,,,,,,,,,98.97357941,105.1802063,104.1305695,105.7810364,119.5301437,,,,113.4779587,,,,,,
Albania,ALB,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,119.3297424,,114.9551926,112.1510696,107.4439697,104.9519577,103.52771,102.5664597,103.489357,103.6778336,103.5632095,101.4564209,99.5847702,99.43750763,99.45175171,101.2331467,99.55587006,98.52026367,101.5287933,104.0438385,106.3018188,108.0198822,107.1711578,105.7366486,104.1961899,102.9673691,101.4115067,100.0051422,98.1780014,100.6760406,97.87570953,96.34562683,95.68250275,93.10456085,93.49047089,95.00608063,97.58512878,99.98390961,104.1080399,105.5429764,105.5538635,107.0466003,106.9934235,104.8127365,100.1519165,
Andorra,AND,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,88.56910706,,,,,,,,106.4426575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,67.26248932,67.35587311,68.89031219,70.11495209,70.43562317,71.76981354,73.52368927,74.38472748,74.66950226,76.44023132,77.6474762,77.83724213,78.67481232,79.51751709,80.46938324,80.41177368,81.15116119,82.35913849,82.84990692,82.76158905,83.3796463,83.86090851,81.35240936,81.9673996,84.55638123,83.37124634,85.66902161,86.30764008,86.8734436,88.01454926,88.6682663,89.46537018,90.67297363,91.65731049,92.04267883,92.56015015,93.54512787,94.05210876,94.95773315,95.28881073,96.01290894,95.59116364,97.51347351,96.37268066,95.98459625,95.4942627,95.33702087,95.39557648,95.84233856,96.07525635,96.35373688,
United Arab Emirates,ARE,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,80.06475067,86.03884888,87.62931061,85.57173157,84.66589355,94.42565155,99.13986206,97.79495239,93.83696747,91.53472137,88.50283051,92.63960266,93.19242859,93.85443115,93.48903656,94.30541229,95.78286743,98.87886047,103.4955521,107.3393326,107.8380127,102.8578796,100.094017,100.3423462,101.0636292,98.07546997,93.89537811,90.36122894,,,,,,,,,101.5898285,,,,,99.9434433,98.66689301,103.0735168,111.5427628,108.6727066,108.3970566,,114.4123611,115.3516769,
Argentina,ARG,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,105.821312,106.5062866,106.0383072,105.5922318,106.3218613,106.0998917,105.7530594,106.6618576,106.2770996,106.7665787,106.8957672,107.6080093,107.836998,,106.028717,106.1743774,107.0245209,107.3918076,107.9663467,,106.9124298,108.9973907,,,110.970871,,110.2202225,107.0863037,111.5416565,114.4968719,115.6941299,116.2501678,116.7984314,114.4946671,115.8060532,115.2991486,117.2033005,118.0511093,118.5934601,117.905983,116.9757614,115.6147308,114.2271729,112.0119476,111.459671,111.3034134,110.7391815,109.7414627,109.6591721,109.5162964,,
Armenia,ARM,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.3454971,101.1409912,104.5680008,96.50575256,92.42475128,93.27529907,126.9002304,129.1640472,133.5714874,98.66372681,102.1300507,95.37493896,94.19893646,94.92137146,95.44106293,100.1557999,113.2876205,114.5186768,110.8467789,99.06498718,98.4758606,98.91773987,98.44946289,96.86598969,95.00364685,94.51789856,94.08351898,92.71524811,91.84506226,91.23544312,
American Samoa,ASM,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,,,,,,,98.66861725,98.34770203,101.6455688,105.0824203,103.0222015,100.372612,99.1982193,98.72846222,98.89273071,92.58213806,87.29930115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,71.00991821,89.29405975,,88.18997192,87.56102753,92.25512695,91.74373627,87.47202301,83.7525177,,,,,110.246727,,,,,,,,102.4008789,,,112.8563919,,,,,127.5960007,,,,,,,114.5785904,114.2038727,111.4890289,112.2929611,110.5734863,108.0301819,,106.0467072,104.9906235,,103.6689606,105.0212708,,,
Australia,AUS,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,111.1978073,110.6436615,110.0000534,105.2374802,108.1844177,109.1571274,111.2183304,112.3266678,111.899353,111.0718765,109.6986008,108.576973,107.2148285,106.4361267,104.8901291,105.4382706,105.8602219,106.4890289,106.6846008,106.3717194,106.0968094,105.973999,105.8771667,105.8298874,101.2912674,101.5802917,101.1840286,100.9286194,100.6588364,100.7219315,100.6397781,101.5487823,101.6743088,102.2641296,102.7393188,103.3040466,105.1830521,105.1411209,105.3021317,105.6194305,105.689682,105.9844513,105.9938507,105.4570923,101.5999069,100.7444077,100.3389816,100.1605911,99.72714996,99.02160645,
Austria,AUT,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,103.2957764,102.7606735,101.1519089,100.0466766,99.68579865,99.24749756,99.49436951,97.31034851,96.78340149,96.23175049,96.39433289,97.27445221,97.07679749,97.07763672,96.60671997,99.10385895,100.9327774,103.7616196,105.5552826,105.3017273,104.1205521,103.9096909,103.3115768,102.4130783,102.3650436,102.3969116,102.8261032,103.6303406,103.7848511,103.6723175,102.9474716,101.2514801,100.4638214,100.7213211,100.8326187,101.559288,101.6712494,100.7259369,100.2024765,99.78977966,99.73870087,100.5990601,101.2101212,101.6281891,101.9974823,102.2643585,103.1131516,103.3168488,103.1049271,,
Azerbaijan,AZE,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,,,,,,112.8665619,,,,,120.9188614,,,114.4999466,114.6294174,113.9595108,112.5403976,111.2491837,113.0139313,113.2001266,93.50836182,94.54734039,92.87744141,95.48014069,97.20748901,98.86100006,98.34942627,96.21324158,97.26132965,95.52696991,94.21665955,94.77120209,94.07247162,95.068573,93.76229858,95.57363129,97.95530701,100.5004501,106.0598907,106.6014862,106.4317398,103.2940979,99.7220993,97.93534851,95.80747223,
Burundi,BDI,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,28.02779007,27.11585999,23.42506981,21.3785305,21.62042046,21.49477959,21.62425995,23.15823936,23.42642975,25.35235977,27.66345024,31.9795208,39.24034119,44.35522842,48.79425049,52.82965851,59.26837921,66.72789001,68.08557129,68.61554718,70.36089325,66.95545197,65.94577789,,49.31856155,38.41836929,39.77453995,47.49435043,56.22755814,58.00494003,60.86331177,65.64196777,71.1733017,76.26712036,80.97310638,102.9002991,115.3082886,122.9431534,131.5227356,137.170105,140.8289032,139.1704254,136.6323242,134.2994843,130.9034271,128.0420532,123.8596191,121.4215622,118.9602432,,115.1230392
Belgium,BEL,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,108.4209824,107.2407379,101.2590637,103.5898132,103.8628922,104.6837234,104.9678268,104.8021088,104.076889,104.0397873,103.4817581,102.8406296,99.7097168,98.88648224,98.27522278,98.80319214,99.95233154,101.1880722,101.5594406,101.0585327,100.2859192,98.92967224,102.4577103,101.8241196,101.7954102,102.0151825,,,103.8236237,104.8344193,104.076561,103.1672287,102.3609085,100.800209,100.4623413,100.7341919,101.5342178,102.1575623,102.1275635,101.9242401,101.9468002,102.2560501,103.8219681,103.6480637,103.1558075,103.3177719,103.905571,103.3507004,102.6195068,,
Benin,BEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,34.76330185,37.69520187,41.48698044,39.68721008,46.19219971,47.99074936,49.98651123,50.8070488,56.85902023,58.2569313,60.34756851,64.67790222,66.25,64.19848633,64.30680084,62.36632919,62.69433975,61.62556076,61.0979805,51.25492859,58.219841,61.41460037,66.49933624,66.8944397,70.24485016,72.65390778,76.38223267,79.4296875,79.58431244,82.52926636,90.73641205,96.16322327,99.79704285,103.7222595,100.838829,101.2934036,,113.1883087,118.4339676,120.1520081,122.7260437,127.2151489,128.7360992,129.5956726,132.4668427,130.9022827,126.6461105,121.958252,116.7085876,114.1510925,
